Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Tm,Games,3PT_Volume_Eff,3PT_per_Min,FT_Volume_Eff,AST_TOV_Ratio,AST_per_Min,Defensive_Impact,Defense_per_Min,Total_Rebounding,REB_per_Min,PTS_per_FGA,PTS_per_Min,TS%,Usage_Rate
Alex Caruso,19.188387096774196,2.129032258064516,5.483870967741935,0.3537741935483871,0.9354838709677419,3.225806451612903,0.2627741935483871,0.3548387096774194,0.45161290322580644,0.1774193548387097,0.6451612903225806,2.129032258064516,2.774193548387097,2.4193548387096775,1.8064516129032258,0.4838709677419355,0.6451612903225806,1.935483870967742,5.548387096774194,6.032258064516129,OKC,31,0.8476586888657648,0.04849984948322573,0.08012486992715921,3.246753246753247,0.12543064521523897,2.290322580645161,0.11874101080375954,2.7741935483870965,0.14382713984680734,0.9936452917388795,0.2876542796936147,0.48393450002813587,0.32805967153895027
Alex Ducas,4.694615384615385,0.5384615384615384,1.4615384615384615,0.2436153846153846,0.46153846153846156,1.0769230769230769,0.23076923076923078,0.0,0.0,0.0,0.3076923076923077,0.6923076923076923,1.0,0.07692307692307693,0.07692307692307693,0.0,0.15384615384615385,0.3076923076923077,1.5384615384615385,1.0076923076923077,OKC,13,0.2485207100591716,0.09626183218353924,0.0,0.30303030303030304,0.01604363869725654,0.07692307692307693,0.01604363869725654,1.0,0.20856730306433502,0.9852216748768473,0.3208727739451308,0.5089058524173028,0.3369164126423873
Alex Len,7.155833333333334,0.6111111111111112,1.1388888888888888,0.3496111111111111,0.027777777777777776,0.16666666666666666,0.027777777777777776,0.19444444444444445,0.3611111111111111,0.09258333333333334,0.6944444444444444,1.0833333333333333,1.7777777777777777,0.8333333333333334,0.2222222222222222,0.5,0.3055555555555556,0.9722222222222222,1.4444444444444444,2.0972222222222223,SAC,36,0.004629629629629629,0.003828337353087554,0.03343287037037037,2.0547945205479454,0.11485012059262663,0.7222222222222222,0.0995367711802764,1.7777777777777777,0.24501359059760344,1.1659192825112108,0.1990735423605528,0.5358615004122012,0.2209716320202136
Alex Sarr,26.774146341463414,4.341463414634147,10.926829268292684,0.3918048780487805,1.4146341463414633,4.609756097560975,0.29000000000000004,1.3658536585365855,2.1219512195121952,0.39880487804878045,1.829268292682927,4.804878048780488,6.634146341463414,2.1951219512195124,0.6585365853658537,1.5609756097560976,1.3902439024390243,2.3658536585365852,11.463414634146341,8.921951219512195,WAS,41,1.336829268292683,0.05263922166557757,0.846244497323022,1.4729950900163666,0.08168155086037901,2.2195121951219514,0.08258912364771655,6.634146341463414,0.24685979815581208,1.03959301039593,0.4265592100486459,0.48123195380173234,0.4930661439047412
Alperen Sengun,31.38257142857143,7.428571428571429,15.2,0.47991428571428574,0.3142857142857143,1.4857142857142858,0.18571428571428572,3.6,4.8,0.6633714285714286,3.342857142857143,7.114285714285714,10.457142857142857,5.0,1.2285714285714286,0.9142857142857143,2.4571428571428573,2.8,18.771428571428572,16.888571428571428,HOU,35,0.2759183673469388,0.009982847652669503,3.1841828571428574,1.9553072625698322,0.15881803083792392,2.142857142857143,0.06806487035911024,10.457142857142857,0.332156567352458,1.226890756302521,0.5962482643458058,0.5405894646765514,0.6279392679850073
Alperen Şengün,31.476153846153846,8.0,16.153846153846153,0.4936923076923077,0.38461538461538464,1.2307692307692308,0.2692307692307692,3.8461538461538463,6.384615384615385,0.7087692307692308,3.8461538461538463,7.076923076923077,10.923076923076923,5.153846153846154,1.3846153846153846,0.38461538461538464,2.230769230769231,2.923076923076923,20.23076923076923,17.784615384615385,HOU,13,0.33136094674556216,0.012180564690979074,4.525218934911243,2.211221122112211,0.1632195668591196,1.7692307692307692,0.05603059757850373,10.923076923076923,0.3459280372238057,1.2446758163748224,0.6406977027454992,0.5320224946393171,0.6711978367317109
Amen Thompson,31.439375,5.270833333333333,9.666666666666666,0.5407708333333333,0.2916666666666667,1.25,0.12983333333333333,2.9583333333333335,4.145833333333333,0.6846875,2.7083333333333335,5.291666666666667,8.0,3.1875,1.4375,1.2083333333333333,2.0,2.3333333333333335,13.791666666666666,13.722916666666668,HOU,48,0.16229166666666667,0.009247699634715865,2.8386002604166665,1.5178571428571428,0.10106414600796623,2.645833333333333,0.08388984668635105,8.0,0.253651189980778,1.4121160409556315,0.4372840827272787,0.5975160661419596,0.42774574110404323
Amir Coffey,25.9634,3.52,7.42,0.46086,1.56,3.68,0.38242,1.6,1.78,0.60084,0.48,1.94,2.42,1.12,0.58,0.14,0.76,1.62,10.2,7.314,LAC,50,1.4073056,0.05985404820552959,1.0694952,1.302325581395349,0.04297213717320073,0.72,0.02762494532562904,2.42,0.09285051067780872,1.3563829787234043,0.39135339211307807,0.6179421315368583,0.34389987492038643
Andre Drummond,18.81793103448276,2.8275862068965516,5.551724137931035,0.5015172413793103,0.034482758620689655,0.3793103448275862,0.034482758620689655,1.206896551724138,2.103448275862069,0.47393103448275864,2.4482758620689653,5.068965517241379,7.517241379310345,0.6206896551724138,1.103448275862069,0.3793103448275862,1.6206896551724137,2.3793103448275863,6.896551724137931,6.248275862068965,PHI,29,0.013079667063020214,0.0018227552768765262,0.9968894173602854,0.36072144288577157,0.032809594983777474,1.4827586206896552,0.07837847690569062,7.517241379310344,0.39736065035908275,1.2202562538133008,0.3645510553753052,0.5282899255111204,0.42805584922168344
Andre Jackson,18.695,1.3666666666666667,3.6333333333333333,0.3504333333333333,0.6,1.8333333333333333,0.2622,0.23333333333333334,0.43333333333333335,0.10556666666666666,0.9,2.2666666666666666,3.1666666666666665,1.5,0.6333333333333333,0.23333333333333334,1.2333333333333334,2.3333333333333335,3.566666666666667,2.48,MIL,30,0.48069999999999996,0.03192338387869114,0.04574555555555555,1.1249999999999998,0.07980845969672784,0.8666666666666667,0.046111554491442754,3.1666666666666665,0.16848452602642544,0.9553571428571429,0.18976678194555288,0.46033384959559465,0.2690786556708344
