Player,Tm,Games,PTS,TRB,AST,Cluster
D'Angelo Russell,LAL,43,12.976744186046512,2.7906976744186047,5.1395348837209305,1
Moritz Wagner,ORL,30,12.866666666666667,4.933333333333334,1.4,1
Rui Hachimura,LAL,42,12.785714285714286,5.095238095238095,1.5238095238095235,1
Kelly Oubre,PHI,29,12.689655172413794,5.689655172413793,1.5172413793103448,1
Santi Aldama,MEM,43,12.651162790697674,6.744186046511628,2.5348837209302326,1
Stephon Castle,SAS,48,12.625,2.833333333333333,3.625,1
Khris Middleton,MIL,23,12.608695652173912,3.695652173913044,4.434782608695652,1
Scoot Henderson,POR,45,12.555555555555555,3.066666666666667,5.355555555555555,1
Bilal Coulibaly,WAS,47,12.5531914893617,5.0638297872340425,3.5106382978723403,1
Terry Rozier,MIA,46,12.434782608695652,4.152173913043479,2.9130434782608696,1
Ayo Dosunmu,CHI,41,12.414634146341465,3.5609756097560976,4.658536585365853,1
Aaron Gordon,DEN,30,12.333333333333334,4.733333333333333,3.066666666666667,1
Brook Lopez,MIL,50,12.22,4.72,1.7,1
Tim Hardaway Jr.,DET,19,12.157894736842104,2.6842105263157894,1.631578947368421,1
Keegan Murray,SAC,48,11.979166666666666,7.0625,1.375,1
Jabari Smith,HOU,32,11.90625,6.6875,1.03125,1
Keldon Johnson,SAS,46,11.847826086956522,4.586956521739131,1.3695652173913044,1
Nick Smith Jr.,CHO,17,11.823529411764708,3.0,2.5294117647058822,1
Brandon Boston,NOP,29,11.79310344827586,3.413793103448276,2.827586206896552,1
Buddy Hield,GSW,51,11.705882352941176,3.2745098039215685,1.6862745098039216,1
Harrison Barnes,SAS,49,11.63265306122449,4.0,1.7755102040816326,1
Corey Kispert,WAS,46,11.478260869565217,2.9782608695652173,1.5869565217391304,1
Alex Sarr,WAS,41,11.46341463414634,6.634146341463414,2.1951219512195124,1
Jaylen Wells,MEM,51,11.31372549019608,3.176470588235294,1.7254901960784317,1
Ty Jerome,CLE,49,11.285714285714286,2.4693877551020407,3.3877551020408165,1
Zaccharie Risacher,ATL,45,11.2,3.466666666666667,1.1777777777777778,1
Naji Marshall,DAL,39,11.17948717948718,3.5384615384615383,2.5641025641025643,1
Derrick Jones Jr.,LAC,20,11.15,4.2,0.85,1
Guerschon Yabusele,PHI,48,11.104166666666666,5.666666666666667,2.0416666666666665,1
Grayson Allen,PHO,42,11.071428571428571,3.452380952380953,2.0476190476190474,1
Nikola Jović,MIA,41,11.048780487804878,3.926829268292683,2.951219512195122,1
Tyus Jones,PHO,50,11.04,2.42,5.82,1
Donte DiVincenzo,MIN,40,11.0,3.675,3.6,1
Jaden McDaniels,MIN,52,10.98076923076923,5.480769230769231,1.7115384615384617,1
Jrue Holiday,BOS,44,10.977272727272728,4.409090909090909,3.6818181818181817,1
Jordan Hawkins,NOP,33,10.909090909090908,2.484848484848485,0.9696969696969696,1
Duncan Robinson,MIA,48,10.854166666666666,2.333333333333333,2.583333333333333,1
Andrew Nembhard,IND,34,10.852941176470589,3.4411764705882355,5.088235294117647,1
Scotty Pippen ,MEM,33,10.848484848484848,3.484848484848485,5.0606060606060606,1
Gary Trent Jr.,MIL,17,10.705882352941176,2.4705882352941178,1.3529411764705883,1
Chris Boucher,TOR,44,10.522727272727272,4.2727272727272725,0.5681818181818182,1
Grant Williams,CHO,16,10.375,5.125,2.3125,1
Ochai Agbaji,TOR,46,10.304347826086955,3.739130434782609,1.6304347826086956,1
Spencer Dinwiddie,DAL,50,10.3,2.42,3.74,1
Quentin Grimes,DAL,48,10.291666666666666,3.7708333333333335,2.145833333333333,1
Julian Champagnie,SAS,49,10.285714285714286,4.142857142857143,1.2448979591836735,1
Jaime Jaquez Jr.,MIA,19,10.263157894736842,4.789473684210527,3.526315789473684,1
Herbert Jones,NOP,20,10.25,3.9,3.25,1
Caris LeVert,CLE,38,10.210526315789474,2.8157894736842106,3.684210526315789,1
Amir Coffey,LAC,50,10.2,2.42,1.12,1
Toumani Camara,POR,50,10.18,5.92,2.02,1
Aaron Wiggins,OKC,51,10.137254901960784,3.5686274509803924,1.568627450980392,1
Keon Johnson,BRK,50,10.04,3.5,1.9,1
Kevin Porter,LAC,27,10.037037037037036,3.6666666666666665,3.0,1
Bogdan Bogdanović,ATL,24,10.0,2.75,2.0416666666666665,1
Derrick Jones,LAC,29,10.0,3.3448275862068964,0.9310344827586208,1
Tim Hardaway,DET,29,10.0,2.0,1.5517241379310345,1
Tosan Evbuomwan,BRK,18,10.0,4.111111111111111,1.6666666666666667,1
Svi Mykhailiuk,UTA,20,9.95,2.45,1.85,1
Cam Whitmore,HOU,32,9.9375,3.21875,0.8125,1
Obi Toppin,IND,47,9.851063829787234,4.0,1.5106382978723405,1
T.J. McConnell,IND,49,9.83673469387755,2.63265306122449,4.510204081632653,1
Isaiah Joe,OKC,47,9.787234042553193,2.5319148936170213,1.3829787234042554,1
Luke Kennard,MEM,38,9.710526315789474,2.921052631578948,3.4473684210526314,1
Luguentz Dort,OKC,48,9.708333333333334,4.375,1.6666666666666667,1
Jose Alvarado,NOP,27,9.62962962962963,1.962962962962963,4.111111111111111,1
Larry Nance,ATL,15,9.533333333333331,4.266666666666667,1.6,1
Gary Trent,MIL,29,9.517241379310343,2.2413793103448274,0.896551724137931,1
Jalen Wilson,BRK,51,9.470588235294118,3.4705882352941178,1.9019607843137252,1
